month,year,n
September,2016,48
October,2016,60
November,2016,61
December,2016,49
January,2017,58
February,2017,41
March,2017,31
April,2017,23
May,2017,24
June,2017,28
July,2017,20
August,2017,30
September,2017,32
October,2017,32
November,2017,40
December,2017,12
January,2018,36
February,2018,21
March,2018,30
April,2018,47
May,2018,53
June,2018,61
July,2018,51
August,2018,48
September,2018,37
October,2018,66
November,2018,49
December,2018,33
January,2019,42
February,2019,32
March,2019,60
